AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
AIP 197T, Academic Internship Program—Special Programs, Academic Internship Program—Special Program
AAS 10, Introduction to African American Studies (4), 4
AAS 87, Freshman Seminar (1), 1
AAS/ANSC 185, #BlackLivesMatter (4), 4
AAS 190, Special Topics in African American Studies (1–4), 1–4
AAS 198, Directed Group Study in African American Studies (2 or 4), 2 or 4
AAS 199, Independent Study in African American Studies (2 or 4), 2 or 4
AWP 1, Analytical Writing (4), 4
AWP 2A, Analytical Writing and Academic English A (4), 4
AWP 2B, Analytical Writing and Academic English B (4), 4
AWP 10, Language and Learning in the American Academy (4), 4
AWP 195, Academic Mentoring in Writing (2), 2
AWP 500, Apprentice Teaching in the Analytical Writing Program (1–4), 1–4
ANTH 1, Introduction to Culture (4), 4
ANTH 2, Human Origins (4), 4
ANTH 3, Global Archaeology  (4), 4
ANTH 4, Words and Worlds: Introduction to the Anthropology of Language (4), 4
ANTH 5, The Human Machine: The Skeleton Within  (4), 4
ANTH 21, Race and Racisms (4), 4
ANTH 23, Debating Multiculturalism: Race, Ethnicity, and Class in American Societies (4), 4
ANTH 42, Primates in a Human-Dominated World  (4), 4
ANTH 43, Introduction to Biology and Culture of Race (4), 4
ANTH 44, Gender, Sexuality, and New Media Fandom in the Korean Wave (4), 4
ANTH 87, Freshman Seminar (1), 1
ANTH 103, Sociocultural Anthropology (4), 4
ANTH 147, Understanding the Human Social Order: Anthropology and the Long-Term (4), 4
ANTH 192, Senior Seminar in Anthropology (1), 1
ANTH 195, Instructional Apprenticeship in Anthropology (4), 4
ANTH 196A, Honors Studies in Anthropology (4), 4
ANTH 196B, Honors Studies in Anthropology  (4), 4
ANTH 196C, Honors Studies in Anthropology (4), 4
ANTH 197, Field Studies (4), 4
ANTH 198, Directed Group Study (2–4), 2–4
ANTH 199, Independent Study (4), 4
ANAR 100, Special Topics in Anthropological Archaeology (4), 4
ANAR 104, Introduction to Geographic Information Systems (GIS) for Anthropologists and Archaeologists (4), GIS) for Anthropologists and Archaeologists (4
ANAR 111, Foundations of Archaeology (4), 4
ANAR 112, Ancient Urbanism (4), 4
ANAR 113, Past, Present, and Future Perspectives on Natural Resources in Israel (4), 4
ANAR 114, Environmental Hazards in Israel (4), 4
ANAR 115, Coastal Geomorphology and Environmental Change—Perspectives from Israel and the South-Eastern Mediterranean (4), 4
ANAR 116, Sea Level Change—The Israel Case in World Perspective (4), 4
ANAR 117, Archaeological Field and Lab Class, Southern California (4), 4
ANAR 118, Archaeology of the UC San Diego Campus (4), 4
ANAR 119S, Archaeological Field and Lab Class (8), 8
ANAR 121, Cyber-Archaeology and World Digital Cultural Heritage (4), 4
ANAR 124, Archaeology of Asia (4), 4
ANAR 135S, Ancient Mediterranean Civilization (8), 8
